"Fecha","ANDRES BELLO","ANTONIO VARAS","BUSTAMANTE","MARÍN","MIGUEL CLARO","POCURO","RICARDO LYON"
"29/03/2015 00:00","8","20","38","17","","31","18"
"29/03/2015 01:00","6","21","14","14","","20","13"
"29/03/2015 02:00","1","13","6","11","","24","10"
"29/03/2015 03:00","3","10","6","11","","10","9"
"29/03/2015 04:00","1","6","4","4","","11","3"
"29/03/2015 05:00","4","3","4","0","","4","0"
"29/03/2015 06:00","5","2","2","1","","15","5"
"29/03/2015 07:00","8","14","14","5","","23","17"
"29/03/2015 08:00","38","31","29","8","","89","76"
"29/03/2015 09:00","5","55","94","33","","16","92"
"29/03/2015 10:00","8","110","125","47","","14","194"
"29/03/2015 11:00","5","136","135","51","","44","266"
"29/03/2015 12:00","6","139","134","44","","34","233"
"29/03/2015 13:00","4","112","136","65","","49","220"
"29/03/2015 14:00","235","76","106","47","","172","158"
"29/03/2015 15:00","131","39","74","32","","107","85"
"29/03/2015 16:00","135","45","65","42","","132","117"
"29/03/2015 17:00","192","54","115","50","","168","138"
"29/03/2015 18:00","198","75","147","54","","196","141"
"29/03/2015 19:00","253","98","183","74","","242","176"
"29/03/2015 20:00","197","101","129","71","","223","136"
"29/03/2015 21:00","80","66","78","43","","114","45"
"29/03/2015 22:00","31","28","49","26","","70","36"
"29/03/2015 23:00","14","38","13","14","","39","14"
"30/03/2015 00:00","4","6","10","4","","10","2"
"30/03/2015 01:00","0","2","6","5","","2","1"
"30/03/2015 02:00","0","1","2","1","","2","2"
"30/03/2015 03:00","1","0","1","0","","0","0"
"30/03/2015 04:00","0","0","2","1","","0","0"
"30/03/2015 05:00","0","0","1","0","","3","3"
"30/03/2015 06:00","23","12","18","13","","42","18"
"30/03/2015 07:00","216","102","137","179","","300","113"
"30/03/2015 08:00","677","379","317","459","","733","494"
"30/03/2015 09:00","322","251","204","234","","429","358"
"30/03/2015 10:00","107","116","90","94","","187","120"
"30/03/2015 11:00","93","103","67","71","","154","111"
"30/03/2015 12:00","94","102","66","80","","156","126"
"30/03/2015 13:00","122","108","77","94","","173","158"
"30/03/2015 14:00","101","109","94","75","","189","158"
"30/03/2015 15:00","93","90","92","80","","154","135"
"30/03/2015 16:00","144","93","109","94","","188","122"
"30/03/2015 17:00","291","161","132","130","","275","174"
"30/03/2015 18:00","708","288","339","371","","650","378"
"30/03/2015 19:00","724","352","368","386","","693","425"
"30/03/2015 20:00","411","236","202","163","","449","283"
"30/03/2015 21:00","163","135","134","96","","284","163"
"30/03/2015 22:00","61","102","67","67","","175","85"
"30/03/2015 23:00","13","39","46","25","","55","28"
"31/03/2015 00:00","3","23","27","8","","29","11"
"31/03/2015 01:00","4","5","11","2","","11","7"
"31/03/2015 02:00","1","7","1","1","","7","4"
"31/03/2015 03:00","1","0","0","1","","0","0"
"31/03/2015 04:00","0","0","1","0","","2","1"
"31/03/2015 05:00","0","1","3","0","","4","1"
"31/03/2015 06:00","16","14","28","16","","52","18"
"31/03/2015 07:00","230","99","143","174","","320","144"
"31/03/2015 08:00","676","381","324","471","","704","470"
"31/03/2015 09:00","368","287","206","216","","413","380"
"31/03/2015 10:00","129","127","92","98","","199","167"
"31/03/2015 11:00","107","107","68","87","","193","153"
"31/03/2015 12:00","93","86","82","74","","147","142"
"31/03/2015 13:00","150","117","88","77","","193","156"
"31/03/2015 14:00","111","102","82","69","","200","128"
"31/03/2015 15:00","105","112","84","82","","160","141"
"31/03/2015 16:00","140","91","92","102","","201","138"
"31/03/2015 17:00","287","149","156","130","","285","174"
"31/03/2015 18:00","712","273","329","325","","618","433"
"31/03/2015 19:00","769","364","348","356","","754","394"
"31/03/2015 20:00","401","252","232","160","","460","301"
"31/03/2015 21:00","185","160","142","122","","258","148"
"31/03/2015 22:00","63","105","98","73","","188","82"
"31/03/2015 23:00","31","59","58","32","","75","42"
"01/04/2015 00:00","11","40","29","18","","45","29"
"01/04/2015 01:00","2","14","14","9","","22","12"
"01/04/2015 02:00","2","7","4","2","","9","4"
"01/04/2015 03:00","0","0","4","3","","5","1"
"01/04/2015 04:00","0","3","0","1","","2","0"
"01/04/2015 05:00","0","0","2","0","","1","2"
"01/04/2015 06:00","16","16","23","14","","56","26"
"01/04/2015 07:00","243","88","117","152","","288","131"
"01/04/2015 08:00","635","357","323","471","","697","490"
"01/04/2015 09:00","342","255","197","220","","409","355"
"01/04/2015 10:00","117","119","108","99","","194","169"
"01/04/2015 11:00","104","96","82","83","","151","136"
"01/04/2015 12:00","112","90","84","85","","171","159"
"01/04/2015 13:00","140","120","96","91","","203","151"
"01/04/2015 14:00","111","92","87","66","","212","154"
